date,volume,high,low,adj_close,close,open
2020-01-31,813650,3.3101,3.21,3.29,3.29,3.27
2020-01-30,897364,3.38,3.23,3.27,3.27,3.32
2020-01-29,1260731,3.34,3.22,3.34,3.34,3.22
2020-01-28,1009739,3.28,3.18,3.23,3.23,3.24
2020-01-27,1010779,3.26,3.15,3.23,3.23,3.2
2020-01-24,908676,3.265,3.145,3.25,3.25,3.25
2020-01-23,884881,3.31,3.15,3.26,3.26,3.19
2020-01-22,345943,3.25,3.17,3.22,3.22,3.2
2020-01-21,867880,3.28,3.2,3.2,3.2,3.26
2020-01-17,555026,3.31,3.25,3.26,3.26,3.31
2020-01-16,1065520,3.35,3.27,3.28,3.28,3.34
2020-01-15,1299258,3.37,3.15,3.32,3.32,3.15
2020-01-14,764638,3.19,3.08,3.14,3.14,3.13
2020-01-13,739613,3.18,3.1,3.16,3.16,3.11
2020-01-10,433751,3.16,3.095,3.11,3.11,3.16
2020-01-09,809828,3.1767,3.08,3.14,3.14,3.11
2020-01-08,761700,3.15,3.06,3.08,3.08,3.12
2020-01-07,575889,3.19,3.11,3.11,3.11,3.17
2020-01-06,613025,3.21,3.12,3.17,3.17,3.16
2020-01-03,751350,3.24,3.145,3.16,3.16,3.21
2020-01-02,1526039,3.26,3.13,3.21,3.21,3.24
