date,volume,high,low,adj_close,close,open
2020-01-31,135707,60.56,59.6,60.11,60.11,59.92
2020-01-30,61248,60.37,59.3265,60.31,60.31,59.69
2020-01-29,103806,61.65,60.16,60.21,60.21,61.19
2020-01-28,89758,61.64,60.35,61.19,61.19,61.64
2020-01-27,109012,62.97,61.2,61.24,61.24,62.97
2020-01-24,166635,64.38,62.99,63.1,63.1,64.35
2020-01-23,230590,64.4985,61,63.98,63.98,61
2020-01-22,102729,60.55,59.61,60.09,60.09,59.91
2020-01-21,75974,60.59,59.87,59.91,59.91,60.59
2020-01-17,79425,60.89,60.35,60.8,60.8,60.5
2020-01-16,202167,60.41,59.17,60.35,60.35,59.17
2020-01-15,203227,59.24,58.486,58.84,58.84,59.24
2020-01-14,175682,59.49,58.82,59.38,59.38,59.04
2020-01-13,133989,59.1,58.58,59.02,59.02,58.94
2020-01-10,65281,58.87,58.18,58.82,58.82,58.51
2020-01-09,58858,59.19,58.24,58.575,58.575,58.83
2020-01-08,78565,59.265,58.48,58.58,58.58,58.69
2020-01-07,84512,58.76,58.04,58.69,58.69,58.44
2020-01-06,79261,59.52,58.19,59.31,59.31,58.83
2020-01-03,52667,59.82,58.88,59.71,59.71,59.43
2020-01-02,68828,60.39,59.34,60.11,60.11,60.39
