date,volume,high,low,adj_close,close,open
2020-01-31,41300,38.35,33.29,33.37,33.37,35
2020-01-30,74971,38.75,34.21,34.89,34.89,38.15
2020-01-29,28629,39.2282,37.1025,38.45,38.45,37.58
2020-01-28,63023,39.16,37.11,37.97,37.97,38.44
2020-01-27,139623,38.8,33.02,37.99,37.99,34.76
2020-01-24,55835,38.45,35.1,35.55,35.55,37.62
2020-01-23,80748,38.61,35.54,37.48,37.48,37.25
2020-01-22,98044,38.42,36.62,36.74,36.74,37.38
2020-01-21,148169,38,35.22,37.25,37.25,35.22
2020-01-17,78206,38.6881,34.985,35.31,35.31,36.63
2020-01-16,159276,37,34.6,36.05,36.05,34.63
2020-01-15,146514,36.29,32.45,34.28,34.28,32.45
2020-01-13,123979,32.16,29.27,31.06,31.06,31.27
2020-01-10,98223,34.54,31.15,31.27,31.27,33.91
2020-01-09,121865,34.5,32.92,33.73,33.73,33.68
2020-01-08,93410,34.05,31.0054,33.23,33.23,32.85
2020-01-07,66120,33.97,31.9,32.78,32.78,33.97
2020-01-06,204190,34.955,29.6,34.34,34.34,30.72
2020-01-03,46145,31.47,28.72,31.34,31.34,29.55
2020-01-02,112039,31.4,27.58,29.9,29.9,31.07
