date,volume,high,low,adj_close,close,open
2020-01-31,101,26.89,26.6412,26.6412,26.6412,26.89
2020-01-30,400,27.144,26.9116,27.144,27.144,26.9116
2020-01-29,314,27.0674,27.0117,27.0117,27.0117,27.0674
2020-01-28,304,27.07,26.93,27.02,27.02,27.07
2020-01-24,15,27.58,27.1796,27.1796,27.1796,27.2342
2020-01-22,202,27.52,27.47,27.47,27.47,27.2342
2020-01-16,222,27.2964,27.2342,27.2964,27.2964,27.2342
2020-01-13,123,27.06,26.81,27.06,27.06,26.98
2020-01-10,3,26.88,26.87,26.87,26.87,26.5
2020-01-08,274,26.7161,26.5,26.7161,26.7161,26.5
2020-01-07,711,26.65,26.5791,26.61,26.61,26.5821
2020-01-02,4,26.81,26.58,26.81,26.81,26.438
