date,volume,high,low,adj_close,close,open
2020-01-31,4261,57.16,54.62,54.62,54.62,55.3025
2020-01-30,22135,56.27,53.61,55.6,55.6,56.27
2020-01-29,16704,58.51,56.51,56.73,56.73,58.29
2020-01-28,5542,58.21,57.16,58.21,58.21,58.1
2020-01-27,7169,58.975,57.69,58.06,58.06,58.49
2020-01-24,12096,59.97,59.1,59.1,59.1,59.25
2020-01-23,4324,59.625,59.23,59.23,59.23,59.43
2020-01-22,27339,59.975,59.25,59.51,59.51,59.95
2020-01-21,7919,59.89,59.645,59.82,59.82,59.8
2020-01-17,14600,60.64,59.7,59.7,59.7,60.35
2020-01-16,9974,60.7462,59.7916,59.88,59.88,60.67
2020-01-15,6301,60.7937,60,60.42,60.42,60.37
2020-01-14,9613,60.65,60.11,60.16,60.16,60.22
2020-01-13,10379,60.76,59.02,60.76,60.76,59.88
2020-01-10,9110,60.61,59.37,59.8,59.8,59.5427
2020-01-09,6626,60.1,59.5,59.64,59.64,60
2020-01-08,5980,60.2,59.88,60,60,59.88
2020-01-07,5042,60.47,59.66,59.88,59.88,60.06
2020-01-06,12833,60.5,59.6,60.21,60.21,60.41
2020-01-03,3173,60.59,60,60.59,60.59,60
2020-01-02,4272,60.67,60.05,60.35,60.35,60.55
