date,volume,high,low,adj_close,close,open
2020-01-31,4689,5.8885,5.79,5.79,5.79,5.8475
2020-01-30,11221,5.8,5.3,5.64,5.64,5.3
2020-01-29,1914,5.2,5.051,5.17,5.17,5.051
2020-01-28,21983,5.11,4.55,5.11,5.11,4.55
2020-01-27,6103,4.62,4.36,4.46,4.46,4.36
2020-01-24,985,4.65,4.383,4.4,4.4,4.41
2020-01-23,986,4.63,4.4,4.4,4.4,4.579
2020-01-22,3207,4.8,4.45,4.8,4.8,4.464
2020-01-21,9349,4.65,4.38,4.38,4.38,4.65
2020-01-17,1169,4.8,4.59,4.7388,4.7388,4.8
2020-01-16,672,4.8668,4.785,4.785,4.785,4.86
2020-01-15,5742,4.9,4.5301,4.8122,4.8122,4.7
2020-01-14,7320,4.7,4.6,4.69,4.69,4.71
2020-01-13,4839,4.7,4.6161,4.62,4.62,4.62
2020-01-10,9036,4.661,4.5701,4.583,4.583,4.635
2020-01-09,411,4.65,4.51,4.51,4.51,4.65
2020-01-08,1221,4.64,4.58,4.58,4.58,4.63
2020-01-07,11159,4.7,4.5119,4.7,4.7,4.69
2020-01-06,10051,4.6899,4.47,4.5,4.5,4.5371
2020-01-03,5852,4.48,4.16,4.41,4.41,4.16
2020-01-02,5929,4.5968,4.1025,4.4,4.4,4.55
