date,volume,high,low,adj_close,close,open
2020-01-31,122872,73.235,70.72,71.12,71.12,73
2020-01-30,108882,74.335,72.29,73.11,73.11,73.85
2020-01-29,131543,76.29,74.44,74.45,74.45,75.95
2020-01-28,164165,76.76,74.88,75.86,75.86,76.55
2020-01-27,255503,78.615,75.65,75.95,75.95,78.31
2020-01-24,263370,81.23,77,80.43,80.43,77.1
2020-01-23,808169,86.525,80.39,80.49,80.49,84.19
2020-01-22,206418,79.95,78.6548,79.65,79.65,79.18
2020-01-21,151657,79.385,78.0075,78.48,78.48,78.93
2020-01-17,115271,80.06,77.96,79.03,79.03,80.06
2020-01-16,105926,79.92,78.76,79.49,79.49,79.2
2020-01-15,109667,79.39,78.23,78.76,78.76,78.62
2020-01-14,169197,78.95,77.86,78.73,78.73,78.37
2020-01-13,125396,78.44,76.65,78.41,78.41,76.83
2020-01-10,104493,77.22,76.13,76.69,76.69,77.1
2020-01-09,83680,77.68,76.92,77.15,77.15,77.41
2020-01-08,172161,77.145,76.02,76.86,76.86,76.33
2020-01-07,77190,76.94,76.005,76.29,76.29,76.03
2020-01-06,153485,76.84,74.7667,76.14,76.14,75.54
2020-01-03,110704,76.73,75.825,76.14,76.14,76.23
2020-01-02,69695,77.74,76.45,77.23,77.23,77.58
