date,volume,high,low,adj_close,close,open
2020-01-31,27690,9.59,9.03,9.5,9.5,9.59
2020-01-30,19110,9.7561,9.45,9.45,9.45,9.7561
2020-01-29,14140,9.732,9.5,9.55,9.55,9.7
2020-01-28,9882,9.8112,9.5853,9.71,9.71,9.6
2020-01-27,34823,9.9504,9.53,9.57,9.57,9.7
2020-01-24,44459,10.01,9.69,9.94,9.94,10.01
2020-01-23,22006,10.69,9.82,9.89,9.89,9.85
2020-01-22,16946,10.43,9.8,9.87,9.87,10.39
2020-01-21,25723,10.63,10.04,10.54,10.54,10.63
2020-01-17,6749,10.68,10.6,10.62,10.62,10.65
2020-01-16,9610,10.65,10.21,10.65,10.65,10.21
2020-01-15,11412,10.2707,10.09,10.16,10.16,10.09
2020-01-14,23010,10.47,10.08,10.08,10.08,10.36
2020-01-13,24831,10.3964,9.9,10.26,10.26,9.9
2020-01-10,40416,9.8,9.38,9.8,9.8,9.55
2020-01-09,29071,9.59,9.35,9.55,9.55,9.59
2020-01-08,14061,9.3773,9.31,9.33,9.33,9.3346
2020-01-07,8763,9.51,9.19,9.3,9.3,9.19
2020-01-06,4448,9.2573,9.16,9.16,9.16,9.12
2020-01-03,16169,9.31,9.03,9.15,9.15,9.166
2020-01-02,8771,9.28,9.02,9.28,9.28,9.2684
