date,volume,high,low,adj_close,close,open
2020-01-31,20,13.3,13.25,13.3,13.3,13.29
2020-01-30,9,13.3124,13.25,13.33,13.33,13.29
2020-01-29,966,13.3124,13.25,13.3,13.3,13.29
2020-01-27,1127,13.86,13.06,13.06,13.06,13.06
2020-01-23,7024,13.2,13.11,13.2,13.2,13.2
2020-01-22,342,13.2,13.06,13.19,13.19,13.06
2020-01-21,311,13.05,13.03,13.05,13.05,13.03
2020-01-17,686,13.0851,13.02,13.02,13.02,13.0851
2020-01-16,1470,13,12.97,13,13,12.97
2020-01-15,22,12.96,12.96,12.96,12.96,13.0065
2020-01-14,571,13.19,12.96,12.96,12.96,13.0065
2020-01-13,14,12.86,12.86,12.91,12.91,12.99
2020-01-10,14,12.86,12.86,12.86,12.86,12.99
2020-01-09,6,12.82,12.82,12.82,12.82,12.99
2020-01-08,112,12.99,12.78,12.78,12.78,12.99
2020-01-07,1404,12.77,12.75,12.77,12.77,12.75
2020-01-06,436,12.86,12.7,12.86,12.86,12.7
2020-01-03,1912,13.01,12.82,12.82,12.82,12.82
2020-01-02,588,12.82,12.8,12.82,12.82,12.8
