date,volume,high,low,adj_close,close,open
2020-01-31,77621,43.06,41.14,41.27,41.27,43.06
2020-01-30,58000,44.365,42.84,43.33,43.33,43.72
2020-01-29,74424,45.54,43.8164,44.07,44.07,44.01
2020-01-28,64201,44.25,43.605,43.84,43.84,43.73
2020-01-27,36862,44.12,43.43,43.43,43.43,43.93
2020-01-24,55369,45.71,44.415,44.62,44.62,45.64
2020-01-23,46986,46.245,45.28,45.59,45.59,46.09
2020-01-22,69744,46.64,46.02,46.1,46.1,46.22
2020-01-21,40496,46.49,46.08,46.11,46.11,46.42
2020-01-17,113421,46.99,46.43,46.69,46.69,46.99
2020-01-16,95839,47.085,46.585,46.73,46.73,46.93
2020-01-15,86773,47.77,46.31,46.45,46.45,47.22
2020-01-14,93817,48.19,47.23,47.38,47.38,47.58
2020-01-13,124377,47.62,46.935,47.57,47.57,47.14
2020-01-10,59135,47.635,46.86,47.26,47.26,47.59
2020-01-09,62017,48.19,47.57,47.57,47.57,48.19
2020-01-08,64010,48.4,47.84,48.12,48.12,47.94
2020-01-07,59279,48.49,47.87,47.89,47.89,48.3
2020-01-06,50100,48.83,48,48.58,48.58,48.07
2020-01-03,79689,48.93,47.66,48.67,48.67,47.95
2020-01-02,81592,49.45,47.78,48.4,48.4,49.45
