date,volume,high,low,adj_close,close,open
2020-01-31,219325,50.33,49.56,49.7,49.7,50.26
2020-01-30,168186,50.575,49.62,50.32,50.32,50.09
2020-01-29,160323,50.75,49.86,50.11,50.11,50.62
2020-01-28,251200,50.46,49.54,50.29,50.29,49.67
2020-01-27,181669,49.585,48.52,49.33,49.33,49.07
2020-01-24,254077,50.31,49.2,49.62,49.62,49.73
2020-01-23,475456,49.67,48.4,49.53,49.53,49
2020-01-22,189672,49.75,48.865,48.94,48.94,49.32
2020-01-21,228165,49.7,49.152,49.27,49.27,49.41
2020-01-17,204908,50.05,49.095,49.58,49.58,49.97
2020-01-16,304218,49.87,49.345,49.82,49.82,49.64
2020-01-15,322877,49.94,48.74,49.4,49.4,48.74
2020-01-14,343995,48.95,47.89,48.75,48.75,48.4
2020-01-13,383076,48.76,47.6,48.55,48.55,47.85
2020-01-10,414974,47.96,47.31,47.55,47.55,47.49
2020-01-09,234899,47.34,46.94,47.2,47.2,46.94
2020-01-08,301889,46.86,45.84,46.69,46.69,45.84
2020-01-07,201131,46.065,45.3,45.62,45.62,45.6
2020-01-06,317009,46.6578,45.75,45.82,45.82,46.55
2020-01-03,214152,46.78,45.88,46.69,46.69,45.91
2020-01-02,267726,46.405,45.91,46.36,46.36,46.17
