date,volume,high,low,adj_close,close,open
2020-01-31,208679,12.28,11.81,12.17,12.17,12.28
2020-01-30,278008,13.16,12.04,12.36,12.36,13.16
2020-01-29,83449,13.84,13.31,13.34,13.34,13.59
2020-01-28,84876,13.75,13.3,13.53,13.53,13.51
2020-01-27,84572,13.5,12.72,13.31,13.31,12.8
2020-01-24,138639,13.6,12.86,13.11,13.11,13.51
2020-01-23,140467,13.9,13.41,13.41,13.41,13.9
2020-01-22,91155,14.1,13.7,13.92,13.92,13.7
2020-01-21,155901,14.26,13.52,13.64,13.64,14.21
2020-01-17,192223,15.68,14.185,14.26,14.26,15.54
2020-01-16,167912,15.79,15.32,15.38,15.38,15.44
2020-01-15,138502,15.59,14.99,15.23,15.23,15.45
2020-01-14,211356,15.545,14.36,15.46,15.46,14.36
2020-01-13,178922,15.32,14.31,14.46,14.46,15.32
2020-01-10,181749,16.05,15.27,15.36,15.36,15.82
2020-01-09,146617,15.84,15.16,15.77,15.77,15.47
2020-01-08,164001,15.76,15.24,15.38,15.38,15.46
2020-01-07,190439,15.97,15.05,15.5,15.5,15.2
2020-01-06,193094,15.19,14.355,15.16,15.16,14.81
2020-01-03,116540,15.48,14.78,14.96,14.96,15.31
2020-01-02,116422,15.97,15.06,15.63,15.63,15.97
