date,volume,high,low,adj_close,close,open
2020-01-31,39558,5.84,5.6491,5.71,5.71,5.84
2020-01-30,24971,5.94,5.7232,5.94,5.94,5.82
2020-01-29,40546,5.99,5.84,5.9,5.9,5.99
2020-01-28,35411,5.95,5.81,5.89,5.89,5.84
2020-01-27,42729,5.887,5.8,5.87,5.87,5.82
2020-01-24,111966,6.16,5.9,6.01,6.01,6.15
2020-01-23,59937,6.25,6.0609,6.25,6.25,6.25
2020-01-22,79234,6.41,6.2774,6.2949,6.2949,6.41
2020-01-21,95745,6.7,6.46,6.46,6.46,6.7
2020-01-17,82359,6.95,6.7,6.78,6.78,6.93
2020-01-16,44089,7.02,6.82,6.82,6.82,6.96
2020-01-15,23693,6.9716,6.8125,6.88,6.88,6.97
2020-01-14,21913,7.05,6.924,6.95,6.95,7
2020-01-13,54084,7.05,6.89,7.05,7.05,7.18
2020-01-10,25413,7.19,7.04,7.04,7.04,7.18
2020-01-09,25233,7.22,7.0317,7.2054,7.2054,7.21
2020-01-08,50857,7.63,7.2124,7.2594,7.2594,7.63
2020-01-07,42899,7.75,7.5002,7.6147,7.6147,7.75
2020-01-06,866805,7.82,7.5914,7.82,7.82,7.75
2020-01-03,34740,7.69,7.5107,7.65,7.65,7.69
2020-01-02,44195,7.53,7.32,7.44,7.44,7.49
