date,volume,high,low,adj_close,close,open
2020-01-31,51114,2.24,2.14,2.18,2.18,2.15
2020-01-30,79714,2.2899,2.1,2.21,2.21,2.25
2020-01-29,55807,2.3497,2.23,2.27,2.27,2.34
2020-01-28,24619,2.38,2.31,2.32,2.32,2.32
2020-01-27,41039,2.35,2.19,2.33,2.33,2.3
2020-01-24,159827,2.5,2.26,2.33,2.33,2.49
2020-01-23,28535,2.515,2.42,2.48,2.48,2.5
2020-01-22,86220,2.6569,2.5,2.5,2.5,2.59
2020-01-21,115930,2.8,2.53,2.55,2.55,2.66
2020-01-17,83233,2.86,2.69,2.71,2.71,2.75
2020-01-16,117831,2.93,2.7,2.72,2.72,2.7
2020-01-15,145184,2.8,2.62,2.7,2.7,2.8
2020-01-13,118441,2.88,2.64,2.77,2.77,2.83
2020-01-10,539346,3,2.66,2.85,2.85,2.69
2020-01-09,169955,2.75,2.52,2.7,2.7,2.6
2020-01-08,73387,2.6389,2.5,2.57,2.57,2.5
2020-01-07,100021,2.61,2.485,2.565,2.565,2.56
2020-01-06,434201,2.85,2.53,2.61,2.61,2.73
2020-01-03,68278,2.65,2.48,2.5,2.5,2.65
2020-01-02,142794,2.72,2.37,2.65,2.65,2.4
