date,volume,high,low,adj_close,close,open
2020-01-31,58943,92.19,90.5487,91.01,91.01,92.19
2020-01-30,7773,92.05,91.1101,92.05,92.05,91.8491
2020-01-29,2948,93.57,93.035,93.035,93.035,93.57
2020-01-28,3175,93.3203,92.62,93.2185,93.2185,93.08
2020-01-27,45247,92.31,90.23,92.18,92.18,90.23
2020-01-24,6867,95.38,92.4584,92.65,92.65,95.38
2020-01-23,4640,95.03,94.25,94.94,94.94,94.3213
2020-01-22,9127,96.65,95.34,95.34,95.34,96.02
2020-01-21,26410,96.889,95.43,95.43,95.43,95.89
2020-01-17,4662,96.89,96.3157,96.3157,96.3157,96.56
2020-01-16,25319,96.3343,95.66,96.3343,96.3343,96.21
2020-01-15,3886,95.2538,93.96,94.8731,94.8731,93.96
2020-01-14,13697,94.69,92.84,94.29,94.29,92.84
2020-01-13,17862,94.8636,92.62,93.5154,93.5154,94.22
2020-01-10,6229,94.7062,93.7,93.7114,93.7114,94.04
2020-01-09,26677,94.3963,93.65,93.97,93.97,94.25
2020-01-08,31059,94.13,93.01,93.75,93.75,93.22
2020-01-07,100378,93.81,92.55,93.23,93.23,93.81
2020-01-06,130316,93.78,91.5,93.7041,93.7041,92.4
2020-01-03,5668,93.9704,92.58,93.1887,93.1887,93.5
2020-01-02,10487,95.64,93.4442,94.2556,94.2556,95.64
