date,volume,high,low,adj_close,close,open
2020-01-31,20827,27.31,25.99,26.08,26.08,27.31
2020-01-30,13559,27.6,27.11,27.47,27.47,27.18
2020-01-29,26229,29.17,27.16,27.47,27.47,29.17
2020-01-28,12829,28.59,28.2,28.31,28.31,28.55
2020-01-27,15058,29.47,28.305,28.44,28.44,28.51
2020-01-24,11747,29.15,28.76,28.85,28.85,28.99
2020-01-23,16646,29.215,28.78,29.1,29.1,28.95
2020-01-22,23584,29.21,28.53,29.17,29.17,28.92
2020-01-21,23820,29.547,29.03,29.04,29.04,29.36
2020-01-17,20739,29.83,29.38,29.55,29.55,29.83
2020-01-16,20645,29.84,29.47,29.63,29.63,29.53
2020-01-15,37606,29.58,29.21,29.29,29.29,29.33
2020-01-14,27166,29.6,29.39,29.47,29.47,29.39
2020-01-13,14163,29.71,29.44,29.58,29.58,29.52
2020-01-10,27030,29.65,29.33,29.45,29.45,29.57
2020-01-09,17492,29.74,29.45,29.54,29.54,29.32
2020-01-08,22492,29.795,28.9,29.39,29.39,29
2020-01-07,15742,29.41,28.875,28.94,28.94,29.35
2020-01-06,25196,29.63,28.945,29.36,29.36,29.26
2020-01-03,16488,29.77,29.46,29.6,29.6,29.61
2020-01-02,16931,30.15,29.71,30,30,30.15
