date,volume,high,low,adj_close,close,open
2020-01-31,1639,58.33,57.677,57.677,57.677,58.33
2020-01-30,602,58.9022,58.18,58.9022,58.9022,58.21
2020-01-29,2587,59.16,58.8,59.07,59.07,58.8
2020-01-28,1386,58.76,58.6138,58.6138,58.6138,58.6385
2020-01-27,4400,58.51,58,58.2841,58.2841,58
2020-01-24,644,59.77,59.29,59.29,59.29,59.77
2020-01-23,1367,60.2331,59.7142,60.1259,60.1259,59.7142
2020-01-22,381,60.65,60.1308,60.25,60.25,60.52
2020-01-21,1453,61.37,60.553,60.553,60.553,61.37
2020-01-17,960,61.82,61.57,61.63,61.63,61.82
2020-01-16,17248,61.92,61.58,61.8144,61.8144,61.58
2020-01-15,354,61.57,61.17,61.4977,61.4977,61.57
2020-01-14,2384,61.52,60.83,61.2733,61.2733,60.83
2020-01-13,924,60.9317,60.27,60.9317,60.9317,60.83
2020-01-10,1668,60.7109,60.3047,60.3047,60.3047,60.7109
2020-01-09,2212,61,60.7456,60.7456,60.7456,60.7048
2020-01-08,1816,61.0926,60.9341,60.9341,60.9341,61.09
2020-01-07,1062,61.8099,61.16,61.38,61.38,61.25
2020-01-06,3782,61.7,60.82,61.49,61.49,61.7
2020-01-03,2344,61.94,61.6501,61.6875,61.6875,61.6501
2020-01-02,584,63.1457,62.34,62.5731,62.5731,63.1457
