date,volume,high,low,adj_close,close,open
2020-01-31,37288,52.17,51.07,51.45,51.45,52.17
2020-01-30,44181,52.36,51.545,52.28,52.28,51.64
2020-01-29,31558,52.4953,52,52.03,52.03,52.41
2020-01-28,22507,52.7,52.2,52.33,52.33,52.7
2020-01-27,28149,53.195,52,52.47,52.47,52
2020-01-24,19492,53.89,53.12,53.34,53.34,53.85
2020-01-23,32358,54.08,53.2779,53.63,53.63,53.71
2020-01-22,41088,54.3,53.04,53.86,53.86,53.93
2020-01-21,47674,54.5,49.21,53.78,53.78,52.88
2020-01-17,25895,53.25,52.68,53.24,53.24,53.01
2020-01-16,40319,53.04,52,52.8,52.8,52.06
2020-01-15,35299,52.0103,51.12,51.81,51.81,51.12
2020-01-14,46869,51.85,50.8515,51.16,51.16,51.19
2020-01-13,39920,51.49,50.99,51.36,51.36,50.99
2020-01-10,41765,51.4515,50.9,51,51,51.15
2020-01-09,36722,51.48,50.78,51.32,51.32,51.41
2020-01-08,41111,51.49,50.86,51.19,51.19,50.94
2020-01-07,38806,51.35,50.61,50.83,50.83,51.35
2020-01-06,45922,51.55,50.83,51.49,51.49,51.19
2020-01-03,40833,51.77,50.77,51.5,51.5,51.09
2020-01-02,27633,51.25,50.67,51.02,51.02,51.25
