date,volume,high,low,adj_close,close,open
2020-01-31,386905,13.31,12.86,12.955,12.955,13.18
2020-01-30,795627,13.425,12.76,13.19,13.19,13.22
2020-01-29,634744,13.99,13.15,13.19,13.19,13.92
2020-01-28,513399,14.44,13.86,13.9,13.9,14.3
2020-01-27,241107,14.4,14.11,14.3,14.3,14.29
2020-01-24,229624,14.62,14.31,14.51,14.51,14.55
2020-01-23,206728,14.61,14.23,14.56,14.56,14.38
2020-01-22,213537,14.83,14.365,14.42,14.42,14.58
2020-01-21,200679,14.64,14.5,14.6,14.6,14.64
2020-01-17,551865,14.68,14.45,14.67,14.67,14.6
2020-01-16,373607,14.73,14.5,14.55,14.55,14.65
2020-01-15,273826,14.7,14.52,14.64,14.64,14.52
2020-01-14,382516,14.75,14.51,14.52,14.52,14.64
2020-01-13,494345,14.765,14.3825,14.62,14.62,14.46
2020-01-10,248147,14.73,14.37,14.46,14.46,14.73
2020-01-09,255175,14.92,14.65,14.68,14.68,14.89
2020-01-08,273554,15.14,14.755,14.78,14.78,15
2020-01-07,302749,15.36,14.92,15.01,15.01,15.29
2020-01-06,410995,15.42,14.97,15.36,15.36,15.1
2020-01-03,303825,15.25,14.94,15.19,15.19,14.96
2020-01-02,355005,15.5,15,15.13,15.13,15.44
