date,volume,high,low,adj_close,close,open
2020-01-31,53046,75.18,73.62,73.83,73.83,75.18
2020-01-30,50750,75.26,74.2845,75.26,75.26,74.43
2020-01-29,37318,75.69,74.99,75.06,75.06,75.69
2020-01-28,22679,75.6699,74.86,75.56,75.56,75.01
2020-01-27,77611,74.9499,74.05,74.51,74.51,74.48
2020-01-24,27718,77.23,75.665,76.03,76.03,77.18
2020-01-23,81186,76.96,76.23,76.9254,76.9254,76.66
2020-01-22,67857,77.21,76.63,76.646,76.646,76.91
2020-01-21,136238,76.624,76.16,76.46,76.46,76.27
2020-01-17,25008,76.88,76.48,76.731,76.731,76.88
2020-01-16,47055,76.63,76.2,76.63,76.63,76.28
2020-01-15,43357,76.21,75.76,75.85,75.85,76.06
2020-01-14,101634,76.3,75.7486,76.03,76.03,75.95
2020-01-13,39660,75.97,75.5,75.97,75.97,75.74
2020-01-10,111778,75.79,75.19,75.3275,75.3275,75.79
2020-01-09,151819,75.617,75.18,75.44,75.44,75.4
2020-01-08,60836,75.2995,74.515,74.99,74.99,74.58
2020-01-07,72152,74.63,74.11,74.54,74.54,74.3
2020-01-06,80673,74.22,73.6652,74.22,74.22,73.69
2020-01-03,203308,74.39,73.75,74.1431,74.1431,73.96
2020-01-02,190114,74.7756,74.23,74.75,74.75,74.41
