date,volume,high,low,adj_close,close,open
2020-01-31,6679,1.62,1.58,1.62,1.62,1.606
2020-01-30,7072,1.6296,1.58,1.59,1.59,1.5983
2020-01-29,7639,1.63,1.59,1.6,1.6,1.6
2020-01-28,1222,1.6299,1.5718,1.6299,1.6299,1.5718
2020-01-27,13352,1.625,1.527,1.56,1.56,1.58
2020-01-24,4758,1.65,1.58,1.58,1.58,1.6
2020-01-23,6761,1.62,1.61,1.61,1.61,1.6109
2020-01-22,6171,1.65,1.63,1.64,1.64,1.64
2020-01-21,3280,1.65,1.61,1.63,1.63,1.6405
2020-01-17,15271,1.6798,1.63,1.61,1.61,1.63
2020-01-16,12710,1.7,1.59,1.59,1.59,1.69
2020-01-15,6852,1.7252,1.68,1.68,1.68,1.7
2020-01-14,4407,1.73,1.66,1.71,1.71,1.66
2020-01-13,11074,1.75,1.67,1.6901,1.6901,1.67
2020-01-10,4030,1.75,1.68,1.68,1.68,1.72
2020-01-09,4731,1.7248,1.68,1.7,1.7,1.69
2020-01-08,11961,1.7499,1.69,1.69,1.69,1.7268
2020-01-07,2277,1.76,1.69,1.69,1.69,1.7175
2020-01-06,3316,1.77,1.73,1.73,1.73,1.75
2020-01-03,4018,1.8,1.697,1.74,1.74,1.73
2020-01-02,2826,1.72,1.65,1.7191,1.7191,1.65
