date,volume,high,low,adj_close,close,open
2020-01-31,659577,24.43,23.9503,24.33,24.33,24.25
2020-01-30,421644,25.01,24.05,24.35,24.35,24.77
2020-01-29,611617,25.25,24.63,24.98,24.98,25.13
2020-01-28,703903,25,24.65,24.92,24.92,24.79
2020-01-27,705391,25,24,24.66,24.66,24.59
2020-01-24,916206,25.5,24.69,25,25,25
2020-01-23,1229152,25,24.32,24.95,24.95,24.39
2020-01-22,1007871,24.72,24.12,24.49,24.49,24.28
2020-01-21,1040542,24.08,23.53,24.05,24.05,23.61
2020-01-17,841964,24.3694,23.39,23.52,23.52,24.33
2020-01-16,1044665,24.35,23.9,24.22,24.22,24.09
2020-01-15,2558037,24.23,22.5,23.95,23.95,22.5
2020-01-14,693740,22.42,22.04,22.36,22.36,22.2
2020-01-13,715705,22.33,21.73,22.25,22.25,21.73
2020-01-10,682585,21.87,21.44,21.85,21.85,21.71
2020-01-09,851093,21.81,21.41,21.71,21.71,21.59
2020-01-08,726262,21.7,21.26,21.46,21.46,21.4
2020-01-07,624277,21.74,21.16,21.47,21.47,21.39
2020-01-06,884876,21.72,21.04,21.41,21.41,21.32
2020-01-03,513599,21.68,21.2333,21.61,21.61,21.37
2020-01-02,988200,21.66,21.115,21.625,21.625,21.28
