date,volume,high,low,adj_close,close,open
2020-01-31,7,23.48,23.25,23.48,23.48,23.91
2020-01-30,76,23.52,23.25,23.52,23.52,23.91
2020-01-29,11,23.51,23.41,23.51,23.51,23.91
2020-01-28,16,23.99,23.25,23.99,23.99,23.91
2020-01-27,33,22.21,22.21,22.21,22.21,23.91
2020-01-24,36,23.65,23.62,23.65,23.65,23.91
2020-01-23,75,23.66,23.61,23.61,23.61,23.91
2020-01-22,49,25.1,24.51,24.51,24.51,23.91
2020-01-21,325,24.1,23.91,24.1,24.1,23.91
2020-01-17,336,26.03,26,26.03,26.03,25.31
2020-01-16,119,24.99,24.99,24.99,24.99,25.31
2020-01-15,838,24.11,23.56,24.01,24.01,25.31
2020-01-14,235,26.5,24.11,24.11,24.11,24
2020-01-13,182,26.53,26.51,26.53,26.53,24
2020-01-10,39,25.25,25,25,25,24
2020-01-09,58,25.5,25.5,25.5,25.5,24
2020-01-08,188,23.23,23,23.23,23.23,24
2020-01-07,50,23.88,23,23.88,23.88,24
2020-01-06,1325,24,23.29,23.29,23.29,24
2020-01-03,1088,24.63,24.1119,24.31,24.31,22.2601
2020-01-02,897,27,27,27,27,27
