date,volume,high,low,adj_close,close,open
2020-01-31,107675,25.78,25.285,25.48,25.48,25.68
2020-01-30,67453,25.64,25.34,25.62,25.62,25.42
2020-01-29,107894,25.59,25.24,25.45,25.45,25.49
2020-01-28,230749,25.67,25.29,25.45,25.45,25.39
2020-01-27,158565,26.035,25.39,25.395,25.395,26
2020-01-24,94751,26.3,26,26.15,26.15,26.09
2020-01-23,60452,26.07,25.86,26.02,26.02,26.07
2020-01-22,323596,26.3,25.9,25.98,25.98,25.92
2020-01-21,48160,26.06,25.67,25.76,25.76,25.84
2020-01-17,65089,26.1,25.76,25.92,25.92,26.1
2020-01-16,80642,25.97,25.73,25.97,25.97,25.77
2020-01-15,54428,25.72,25.52,25.6,25.6,25.52
2020-01-14,96656,25.78,25.44,25.5,25.5,25.78
2020-01-13,93198,26.38,25.76,25.79,25.79,26.22
2020-01-10,88562,26.33,26.04,26.22,26.22,26.15
2020-01-09,90144,26.25,26.06,26.18,26.18,26.2
2020-01-08,115884,26.13,25.84,26.08,26.08,25.95
2020-01-07,127780,25.99,25.625,25.92,25.92,25.67
2020-01-06,93085,25.7305,25.33,25.6,25.6,25.53
2020-01-03,43990,25.75,25.5,25.68,25.68,25.5
2020-01-02,84110,25.92,25.4,25.66,25.66,25.91
