date,volume,high,low,adj_close,close,open
2020-01-31,730237,14.74,14.32,14.47,14.47,14.67
2020-01-30,1126024,15.105,14.44,14.79,14.79,14.92
2020-01-29,773426,15.44,14.95,15.09,15.09,15.44
2020-01-28,920816,15.59,15.2,15.4,15.4,15.42
2020-01-27,981311,15.54,15.04,15.26,15.26,15.06
2020-01-24,1306759,16.08,15.36,15.5,15.5,16
2020-01-23,1293983,16.77,15.94,16,16,16.5
2020-01-22,2116566,17.7256,16.56,16.56,16.56,17.54
2020-01-21,1268444,17.89,16.91,17.8,17.8,17.47
2020-01-17,1373909,18.15,17.42,17.44,17.44,18.07
2020-01-16,979862,18.26,17.62,18.14,18.14,17.75
2020-01-15,1276201,17.86,17.37,17.74,17.74,17.84
2020-01-13,1019564,18.23,17.46,18.16,18.16,17.85
2020-01-10,702738,18.18,17.73,17.79,17.79,18.04
2020-01-09,1305258,18.23,17.25,18.17,18.17,17.63
2020-01-08,1725514,18.15,17.32,17.36,17.36,17.99
2020-01-07,864875,18.35,17.57,18.105,18.105,17.86
2020-01-06,930183,18.6098,17.75,17.86,17.86,18.03
2020-01-03,1320784,18.57,17.44,18.44,18.44,17.5
2020-01-02,3856144,19.1462,17.5,17.87,17.87,19.08
