date,volume,high,low,adj_close,close,open
2020-01-31,206409,2.38,2.21,2.37,2.37,2.21
2020-01-30,303967,2.53,2.14,2.2,2.2,2.5
2020-01-29,297760,2.695,2.4515,2.5,2.5,2.6
2020-01-28,315648,2.84,2.51,2.59,2.59,2.7
2020-01-27,256663,2.75,2.6,2.67,2.67,2.75
2020-01-24,433219,2.91,2.7,2.72,2.72,2.8
2020-01-23,751555,3.09,2.75,2.77,2.77,3.06
2020-01-22,988949,3.27,3,3.065,3.065,3.05
2020-01-21,1133223,3.25,2.84,2.91,2.91,3.09
2020-01-17,527307,2.85,2.46,2.82,2.82,2.46
2020-01-16,132900,2.54,2.46,2.49,2.49,2.54
2020-01-15,98138,2.65,2.51,2.55,2.55,2.65
2020-01-14,149279,2.65,2.5133,2.62,2.62,2.59
2020-01-13,156425,2.56,2.4,2.56,2.56,2.47
2020-01-10,58772,2.45,2.351,2.43,2.43,2.42
2020-01-09,113956,2.48,2.38,2.42,2.42,2.48
2020-01-08,94451,2.4864,2.38,2.46,2.46,2.38
2020-01-07,258987,2.56,2.31,2.39,2.39,2.56
2020-01-06,196135,2.69,2.5,2.54,2.54,2.67
2020-01-03,161559,2.66,2.318,2.63,2.63,2.52
2020-01-02,211840,2.58,2.41,2.58,2.58,2.48
