date,volume,high,low,adj_close,close,open
2020-01-31,764,51.81,51.268,51.3667,51.3667,51.81
2020-01-29,1402,52.585,52.505,52.5569,52.5569,52.585
2020-01-28,2262,52.616,52.19,52.5822,52.5822,52.19
2020-01-27,800,52.2314,52.2,52.2314,52.2314,52.2
2020-01-24,3502,53.6,53.2,53.205,53.205,53.4605
2020-01-23,255,53.6478,53.63,53.6478,53.6478,53.63
2020-01-22,350,53.591,53.48,53.591,53.591,53.5682
2020-01-21,234,53.43,53.39,53.39,53.39,53.43
2020-01-16,325,53.755,53.63,53.755,53.755,53.52
2020-01-15,485,53.625,53.52,53.625,53.625,53.52
2020-01-14,3392,53.7108,53.48,53.6717,53.6717,53.48
2020-01-13,1074,53.8499,53.39,53.7568,53.7568,53.39
2020-01-10,937,53.62,53.44,53.44,53.44,53.619
2020-01-09,453,53.54,53.4798,53.4798,53.4798,53.54
2020-01-08,704,53.27,53.2501,53.27,53.27,53.2501
2020-01-07,347,53.34,53.14,53.14,53.14,53.34
2020-01-06,617,53.16,53.06,53.125,53.125,53.06
2020-01-03,221,53.1,53.0486,53.0486,53.0486,53.1
2020-01-02,1134,53.5958,53.56,53.5958,53.5958,53.56
