date,volume,high,low,adj_close,close,open
2020-01-31,6339,58.45,57.83,58.0311,58.0311,58.45
2020-01-30,20143,59.0602,58.58,59.0602,59.0602,58.64
2020-01-29,10009,59.22,59.0296,59.0296,59.0296,59.1905
2020-01-28,54069,59.03,58.65,59.0163,59.0163,58.73
2020-01-27,15747,58.74,58.45,58.4812,58.4812,58.71
2020-01-24,15276,60.26,59.58,59.8224,59.8224,60.26
2020-01-23,16711,60.1,59.71,60.0794,60.0794,59.97
2020-01-22,6099,60.3935,60.19,60.2406,60.2406,60.38
2020-01-21,19498,60.31,60.08,60.08,60.08,60.3
2020-01-17,78445,60.5539,60.42,60.5483,60.5483,60.51
2020-01-16,19310,60.3285,60.09,60.3285,60.3285,60.14
2020-01-15,8610,60.2,60.06,60.0903,60.0903,60.13
2020-01-14,16263,60.21,59.98,60.1273,60.1273,59.99
2020-01-13,20558,60.1659,59.85,60.1659,60.1659,59.8269
2020-01-10,8447,60.0971,59.8002,59.8261,59.8261,59.99
2020-01-09,5735,60.08,59.94,60.08,60.08,60
2020-01-08,27923,60.08,59.68,59.9,59.9,59.7
2020-01-07,9739,59.96,59.73,59.7837,59.7837,59.96
2020-01-06,8903,60.0103,59.63,59.984,59.984,59.63
2020-01-03,15448,60.12,59.7201,59.8035,59.8035,59.73
2020-01-02,163779,60.6,60.341,60.6,60.6,60.5
