date,volume,high,low,adj_close,close,open
2020-01-31,374480,101.59,99.585,100.39,100.39,101.59
2020-01-30,247756,101.7,100.03,101.64,101.64,100.83
2020-01-29,190648,102.62,101.44,101.69,101.69,101.52
2020-01-28,265054,102.68,100.33,101.66,101.66,100.33
2020-01-27,310338,100.24,95.75,99.62,99.62,97.42
2020-01-24,203676,100.5,98.26,99.11,99.11,100.31
2020-01-23,172601,100.37,99.29,99.69,99.69,100.37
2020-01-22,197909,102.76,100.68,100.85,100.85,101.47
2020-01-21,241181,101.235,99.68,101.01,101.01,100.62
2020-01-17,252291,100.9,99.66,100.71,100.71,100.74
2020-01-16,253390,100.77,99.46,99.9,99.9,100.19
2020-01-15,364918,101,99.09,99.6,99.6,99.44
2020-01-14,345643,100.71,98.18,99.38,99.38,98.73
2020-01-13,372665,99.49,97.05,99.02,99.02,97.72
2020-01-10,330860,98.48,96.971,97.88,97.88,97.09
2020-01-09,310308,96.8,94.6,96.41,96.41,95.78
2020-01-08,253956,96.25,94.97,95.13,95.13,95.13
2020-01-07,371544,95.72,92.23,95,95,93.79
2020-01-06,379179,94.16,91.3,93.895,93.895,91.94
2020-01-03,249454,94.24,91.88,92.74,92.74,92.37
2020-01-02,267718,93.78,91.8,93.78,93.78,93.06
