date,volume,high,low,adj_close,close,open
2020-01-31,422809,25.385,25.3,25.35,25.35,25.31
2020-01-30,6724,25.3374,25.31,25.31,25.31,25.3374
2020-01-29,8858,25.3703,25.3,25.3,25.3,25.3
2020-01-28,11176,25.3772,25.3,25.3,25.3,25.3
2020-01-27,1517,25.4088,25.29,25.3629,25.3629,25.31
2020-01-24,24827,25.42,25.32,25.37,25.37,25.38
2020-01-23,4793,25.44,25.32,25.42,25.42,25.4
2020-01-22,3337,25.4,25.36,25.4,25.4,25.469
2020-01-21,14939,25.44,25.39,25.39,25.39,25.42
2020-01-17,2132,25.4,25.39,25.4,25.4,25.4399
2020-01-16,7436,25.4991,25.4,25.4,25.4,25.4329
2020-01-15,7453,25.49,25.36,25.41,25.41,25.4201
2020-01-13,11301,25.7317,25.7,25.7,25.7,25.7
2020-01-10,13209,25.73,25.7,25.7,25.7,25.7
2020-01-09,23934,25.79,25.7,25.7,25.7,25.755
2020-01-08,2783,25.78,25.71,25.71,25.71,25.78
2020-01-07,3808,25.78,25.7662,25.78,25.78,25.77
2020-01-06,1837,25.8,25.77,25.77,25.77,25.78
2020-01-03,9467,25.8,25.7,25.8,25.8,25.7
2020-01-02,14223,25.72,25.69,25.7,25.7,25.7
