date,volume,high,low,adj_close,close,open
2020-01-31,19520,25.29,25.25,25.25,25.25,25.26
2020-01-30,42328,25.29,25.16,25.22,25.22,25.22
2020-01-29,56816,25.25,25.15,25.23,25.23,25.19
2020-01-28,17352,25.22,25.18,25.2,25.2,25.2
2020-01-27,16874,25.2099,25.1892,25.2,25.2,25.2
2020-01-24,39940,25.27,25.19,25.2,25.2,25.21
2020-01-23,33784,25.24,25.17,25.17,25.17,25.2
2020-01-22,27438,25.28,25.2,25.2,25.2,25.25
2020-01-21,31285,25.3299,25.16,25.2,25.2,25.2
2020-01-17,25689,25.3,25.2,25.2,25.2,25.2
2020-01-16,21562,25.29,25.19,25.2,25.2,25.2
2020-01-15,26526,25.29,25.1712,25.22,25.22,25.28
2020-01-13,41932,25.47,25.39,25.4,25.4,25.4
2020-01-10,37212,25.476,25.4,25.4,25.4,25.4
2020-01-09,32935,25.48,25.4,25.42,25.42,25.43
2020-01-08,29003,25.48,25.43,25.45,25.45,25.44
2020-01-07,34871,25.45,25.38,25.425,25.425,25.4
2020-01-06,67519,25.455,25.35,25.4,25.4,25.35
2020-01-03,24700,25.37,25.3127,25.37,25.37,25.3645
2020-01-02,19386,25.305,25.2,25.3,25.3,25.2
