date,volume,high,low,adj_close,close,open
2020-01-31,1380797,1.45,1.35,1.35,1.35,1.45
2020-01-30,7682347,1.63,1.3448,1.43,1.43,1.58
2020-01-29,632709,1.35,1.28,1.31,1.31,1.33
2020-01-28,648883,1.32,1.27,1.31,1.31,1.28
2020-01-27,879741,1.28,1.2,1.24,1.24,1.26
2020-01-24,464861,1.32,1.25,1.26,1.26,1.3
2020-01-23,734950,1.3335,1.25,1.26,1.26,1.33
2020-01-22,863308,1.41,1.31,1.34,1.34,1.43
2020-01-21,1017332,1.49,1.33,1.4,1.4,1.49
2020-01-17,1099114,1.49,1.43,1.46,1.46,1.45
2020-01-16,669339,1.45,1.36,1.43,1.43,1.4
2020-01-15,1242967,1.5,1.39,1.4,1.4,1.5
2020-01-14,1681471,1.51,1.4075,1.42,1.42,1.44
2020-01-13,629077,1.45,1.31,1.36,1.36,1.45
2020-01-10,1350467,1.45,1.29,1.41,1.41,1.33
2020-01-09,790133,1.41,1.29,1.33,1.33,1.37
2020-01-08,1786138,1.54,1.29,1.37,1.37,1.54
2020-01-07,3279419,1.5,1.35,1.49,1.49,1.39
2020-01-06,974510,1.3,1.2,1.3,1.3,1.23
2020-01-03,463117,1.22,1.14,1.18,1.18,1.22
2020-01-02,904648,1.22,1.13,1.22,1.22,1.14
