date,volume,high,low,adj_close,close,open
2020-01-31,63460,46.99,44.35,44.35,44.35,46.77
2020-01-30,49290,47.27,46.065,46.86,46.86,46.34
2020-01-29,72251,47.5,45.81,46.2,46.2,46.65
2020-01-28,147654,47,44.6,46.94,46.94,44.97
2020-01-27,145029,44.95,43.74,44.53,44.53,42.05
2020-01-24,207057,44,41.01,43.3,43.3,41.01
2020-01-23,225857,41,40.25,40.66,40.66,40.3
2020-01-22,51226,41.0996,40.15,40.3,40.3,40.59
2020-01-21,49165,41.5435,40.11,40.28,40.28,41.05
2020-01-17,80696,41.49,40.25,41.07,41.07,40.3
2020-01-16,154077,41.72,37.19,40.61,40.61,39.11
2020-01-15,78424,39.71,38.11,38.78,38.78,38.35
2020-01-13,79254,39.035,37.02,37.91,37.91,38.68
2020-01-10,176639,39.6,38,38.42,38.42,39.6
2020-01-09,61941,38.5,37.815,38.44,38.44,38.28
2020-01-08,153061,38.44,37.35,38.16,38.16,37.6
2020-01-07,219104,39,36.5,37.66,37.66,38.47
2020-01-06,38558,38.8,37.89,38.32,38.32,38.8
2020-01-03,57516,38.96,37.98,38.47,38.47,38.54
2020-01-02,118080,39.53,38.4,39.1,39.1,38.4
