date,volume,high,low,adj_close,close,open
2020-01-31,361115,9.16,8.23,8.89,8.89,8.25
2020-01-30,85252,8.45,8.2047,8.38,8.38,8.22
2020-01-29,342604,8.56,8.26,8.31,8.31,8.27
2020-01-28,372352,8.74,8.28,8.28,8.28,8.58
2020-01-27,794595,8.86,7.8724,8.6,8.6,8.11
2020-01-24,249678,8.5,8,8.5,8.5,8
2020-01-23,322040,8.2844,7.97,8.1,8.1,8.01
2020-01-22,339712,8.5899,7.7,8.2,8.2,7.7
2020-01-21,251404,8.5,7.3,7.67,7.67,8.26
2020-01-17,160611,9.18,8.52,8.58,8.58,8.85
2020-01-16,1026004,9.6,8.41,8.93,8.93,8.41
2020-01-15,691109,8.67,8.13,8.48,8.48,8.13
2020-01-13,301025,8.34,7.91,8.18,8.18,7.91
2020-01-10,147107,8.05,7.6,7.94,7.94,7.69
2020-01-09,1401610,8.05,7.5606,7.69,7.69,7.61
2020-01-08,968726,7.83,7.05,7.61,7.61,7.05
2020-01-07,1200612,7.36,6.695,7.19,7.19,6.9
2020-01-06,383819,7.8873,6.88,7,7,7.85
2020-01-03,2205933,8.71,7.28,7.89,7.89,8.15
2020-01-02,1332211,9.29,7.015,8.68,8.68,7.12
