date,volume,high,low,adj_close,close,open
2020-01-31,3375561,17.46,16.885,17.03,17.03,17.24
2020-01-30,7930384,17.93,17.33,17.48,17.48,17.9
2020-01-29,733295,17.08,16.81,16.95,16.95,17.08
2020-01-28,893095,16.98,16.305,16.96,16.96,16.48
2020-01-27,933026,16.64,16.2,16.33,16.33,16.4
2020-01-24,1062648,17.07,16.61,16.79,16.79,17.07
2020-01-23,1039426,17.065,16.39,16.955,16.955,16.67
2020-01-22,1589077,17.54,16.76,16.85,16.85,17.51
2020-01-21,1672947,17.52,16.83,17.37,17.37,17.21
2020-01-17,3403363,17.47,16.76,17.18,17.18,16.83
2020-01-16,3123565,16.625,15.65,16.6,16.6,15.71
2020-01-15,1125898,15.31,15.05,15.19,15.19,15.19
2020-01-14,1723013,15.545,15.0593,15.27,15.27,15.1
2020-01-13,1462935,15.27,14.76,15.24,15.24,14.9
2020-01-10,874551,15.15,14.8,14.91,14.91,15.15
2020-01-09,1369436,15.19,14.59,15,15,14.71
2020-01-08,1677035,14.775,14.46,14.64,14.64,14.67
2020-01-07,858693,14.71,14.27,14.7,14.7,14.37
2020-01-06,1336332,14.42,13.66,14.38,14.38,14.24
2020-01-03,1065018,14.51,13.79,14.37,14.37,14
2020-01-02,1075796,14.19,13.77,14.185,14.185,13.99
