date,volume,high,low,adj_close,close,open
2020-01-23,100,10.57,10.57,10.57,10.57,10.57
2020-01-22,702,10.51,10.51,10.51,10.51,10.51
2020-01-17,20,10.52,10.52,10.52,10.52,10.49
2020-01-16,20,10.52,10.52,10.52,10.52,10.49
2020-01-13,100,10.49,10.49,10.49,10.49,10.49
2020-01-10,70227,10.56,10.47,10.47,10.47,10.56
2020-01-09,222,10.9898,10.47,10.47,10.47,10.54
2020-01-06,71791,10.79,10.54,10.79,10.79,10.54
2020-01-03,767,11,10.59,10.4917,10.4917,10.59
2020-01-02,333,10.531,10.531,10.531,10.531,10.531
