date,volume,high,low,adj_close,close,open
2020-01-31,2099,2.25,2.1001,2.15,2.15,2.1001
2020-01-30,5374,2.25,2.18,2.18,2.18,2.25
2020-01-29,2173,2.32,2.2,2.28,2.28,2.3099
2020-01-28,3011,2.32,2.32,2.32,2.32,2.2491
2020-01-27,7069,2.27,2.1,2.26,2.26,2.16
2020-01-24,9662,2.36,2.17,2.175,2.175,2.36
2020-01-23,3633,2.38,2.24,2.31,2.31,2.28
2020-01-22,1459,2.33,2.23,2.33,2.33,2.27
2020-01-21,4492,2.28,2.19,2.19,2.19,2.28
2020-01-17,7094,2.335,2.18,2.28,2.28,2.18
2020-01-16,14352,2.32,2.132,2.3,2.3,2.21
2020-01-15,22724,2.3,2.12,2.14,2.14,2.12
2020-01-14,13619,2.15,2.1,2.13,2.13,2.101
2020-01-13,11413,2.17,2.107,2.17,2.17,2.1404
2020-01-10,8488,2.16,2.0804,2.16,2.16,2.1499
2020-01-09,13418,2.147,2.12,2.12,2.12,2.1374
2020-01-08,4650,2.16,2.07,2.15,2.15,2.07
2020-01-07,1327,2.12,2.07,2.11,2.11,2.07
2020-01-06,41374,2.13,1.91,2.12,2.12,2.12
2020-01-03,4218,2.2,2.1143,2.12,2.12,2.2
2020-01-02,3808,2.19,2.1,2.19,2.19,2.1
