date,volume,high,low,adj_close,close,open
2020-01-31,62654,10.93,10.45,10.6,10.6,10.89
2020-01-30,98161,11.35,10.68,10.89,10.89,11.19
2020-01-29,70263,11.645,11.18,11.27,11.27,11.51
2020-01-28,61268,11.8,11.54,11.56,11.56,11.6
2020-01-27,149763,11.76,11.37,11.59,11.59,11.76
2020-01-24,99906,12.325,11.83,11.85,11.85,12.17
2020-01-23,79828,12.3,12.02,12.16,12.16,12.21
2020-01-22,110793,12.5,12.13,12.18,12.18,12.5
2020-01-21,141319,12.15,11.99,12.07,12.07,12.11
2020-01-17,97975,12.23,11.9,12.13,12.13,12.1
2020-01-16,62707,12.69,12.12,12.13,12.13,12.45
2020-01-15,68467,12.785,12.31,12.39,12.39,12.49
2020-01-13,90113,12.19,11.91,11.92,11.92,12.05
2020-01-10,72315,12.23,11.96,12.01,12.01,12.19
2020-01-09,111042,12.6,11.99,12.06,12.06,12.53
2020-01-08,95285,12.68,12.14,12.47,12.47,12.41
2020-01-07,138962,12.58,12.1847,12.44,12.44,12.4
2020-01-06,115227,12.56,12.295,12.48,12.48,12.38
2020-01-03,84402,12.43,12.21,12.4,12.4,12.32
2020-01-02,126952,12.67,12.35,12.41,12.41,12.39
