date,volume,high,low,adj_close,close,open
2020-01-31,80391,37.045,35.82,35.86,35.86,36.88
2020-01-30,104745,37.45,36.735,36.92,36.92,37.15
2020-01-29,91701,37.9706,37.4,37.44,37.44,37.57
2020-01-28,125474,38.03,37.37,37.64,37.64,37.67
2020-01-27,137839,37.53,36.1638,37.37,37.37,36.57
2020-01-24,172945,38.6,36.79,37.18,37.18,38.59
2020-01-23,212728,39.265,38.56,38.74,38.74,39.14
2020-01-22,204564,39.61,38.26,39.1,39.1,38.34
2020-01-21,268975,38.41,37.04,38.3,38.3,37.04
2020-01-17,191623,37.6663,36.75,37.18,37.18,37.44
2020-01-16,155216,37.54,36.7,37.27,37.27,36.7
2020-01-15,168023,37.42,36.47,36.57,36.57,36.9
2020-01-14,114441,37.42,36.58,37.12,37.12,36.82
2020-01-13,138136,37.41,36.74,37.02,37.02,37.31
2020-01-10,139680,37.63,37.06,37.46,37.46,37.41
2020-01-09,167385,37.73,37.21,37.6,37.6,37.45
2020-01-08,191572,38.24,37.14,37.39,37.39,37.42
2020-01-07,149808,37.82,37.01,37.19,37.19,37.43
2020-01-06,125128,37.93,37.14,37.53,37.53,37.28
2020-01-03,145851,37.95,36.64,37.73,37.73,36.9
2020-01-02,171753,37.71,36.81,37.32,37.32,37.38
