date,volume,high,low,adj_close,close,open
2020-01-31,121866,16.21,15.385,15.73,15.73,16.21
2020-01-30,75916,16.28,15.56,16.27,16.27,15.74
2020-01-29,55998,15.9,15.42,15.82,15.82,15.77
2020-01-28,66249,15.7,14.95,15.64,15.64,15.31
2020-01-27,119095,15.8,14.58,15.17,15.17,15.8
2020-01-24,99246,16.44,15.93,16.09,16.09,16.44
2020-01-23,190465,16.43,15.49,16.43,16.43,16.33
2020-01-22,67123,16.53,16.0514,16.33,16.33,16.32
2020-01-21,111327,16.73,16.14,16.19,16.19,16.38
2020-01-17,94265,16.66,15.9007,16.39,16.39,16.66
2020-01-16,63559,16.94,16.455,16.49,16.49,16.7
2020-01-15,182435,16.95,15.88,16.52,16.52,15.92
2020-01-14,93617,15.99,15.63,15.87,15.87,15.9
2020-01-13,106910,16.13,15.46,15.86,15.86,16.12
2020-01-10,312907,16.21,15.77,16.005,16.005,15.88
2020-01-09,162549,16.67,15.7,15.86,15.86,16.65
2020-01-08,123017,17.05,16.45,16.56,16.56,16.83
2020-01-07,128593,17.2361,16.72,16.79,16.79,17.03
2020-01-06,182894,17.2,16.32,16.99,16.99,17.01
2020-01-03,162404,17.99,16.5,17.27,17.27,17.5
2020-01-02,177298,18.23,16.7,17.82,17.82,16.89
