date,volume,high,low,adj_close,close,open
2020-01-31,7234218,13.58,12.92,13.39,13.39,13.35
2020-01-30,7025482,14.12,13.2,13.44,13.44,13.54
2020-01-29,9771951,13.97,12.92,13.92,13.92,13.17
2020-01-28,5879125,13.53,12.95,12.96,12.96,13.52
2020-01-27,8398121,13.61,12.03,13.26,13.26,12.33
2020-01-24,8254874,14.07,12.95,13.07,13.07,13.77
2020-01-23,1.215855e+07,14.25,13.22,13.69,13.69,13.51
2020-01-22,1.359949e+07,13.73,12.8,13.5,13.5,12.81
2020-01-21,1.465551e+07,13.9,12.51,12.73,12.73,13.2
2020-01-17,1.460275e+07,13.94,12.77,12.895,12.895,13.24
2020-01-16,2.984396e+07,14.87,12.63,13.26,13.26,14.2
2020-01-15,3.306359e+07,13.88,11.42,13.72,13.72,11.97
2020-01-13,1.190422e+07,10.52,9.25,10.2,10.2,9.29
2020-01-10,9011145,10.1,9.19,9.22,9.22,9.95
2020-01-09,1.338063e+07,10.85,9.73,9.825,9.825,10.75
2020-01-08,2.349015e+07,11.4395,10.24,10.6,10.6,10.24
2020-01-07,1.536703e+07,10.5374,9.51,10.14,10.14,10.09
2020-01-06,3.898496e+07,10.85,8.9,10.19,10.19,9.08
2020-01-03,4186532,8.47,8.1,8.38,8.38,8.28
2020-01-02,6589823,8.85,8.25,8.32,8.32,8.82
