date,volume,high,low,adj_close,close,open
2020-01-31,18463,40.485,38.57,39.55,39.55,40.36
2020-01-30,16282,40.575,39.65,39.78,39.78,40.2
2020-01-29,19765,40.39,39.19,40,40,39.62
2020-01-28,14299,40,38.71,39.7,39.7,39.93
2020-01-27,14400,40.04,39.02,39.75,39.75,39.26
2020-01-24,17102,40.45,39.04,39.75,39.75,39.92
2020-01-23,18107,40.08,37.31,39.86,39.86,37.8
2020-01-22,15526,38.81,37.52,37.64,37.64,37.59
2020-01-21,13674,39.7499,38.04,38.31,38.31,38.04
2020-01-17,22473,38.695,36.86,38.23,38.23,37.03
2020-01-16,9176,37.4685,36.555,36.69,36.69,36.98
2020-01-15,9533,37.1377,36.34,36.89,36.89,36.8
2020-01-14,10377,37.84,36.48,36.7,36.7,37.11
2020-01-13,11767,37.51,34.8902,37.17,37.17,36.25
2020-01-10,13718,37.5,36.04,36.19,36.19,36.82
2020-01-09,13379,38.8,36.82,36.93,36.93,38.26
2020-01-08,15264,38.02,37.4,37.63,37.63,37.5491
2020-01-07,17803,38.99,37.77,38.03,38.03,38.99
2020-01-06,16008,40.01,38.9463,39,39,39.69
2020-01-03,20252,40.01,38.55,39.76,39.76,39.01
2020-01-02,15656,40.72,39.0933,39.89,39.89,40.41
