date,volume,high,low,adj_close,close,open
2020-01-31,311017,17.06,16.33,16.87,16.87,16.78
2020-01-30,406940,17.895,16.46,16.92,16.92,17.65
2020-01-29,425080,18.08,17.08,17.85,17.85,17.86
2020-01-28,421374,18.37,17.76,17.85,17.85,17.84
2020-01-27,482072,18.145,17.46,17.84,17.84,17.73
2020-01-24,483614,18.65,17.44,18.07,18.07,18.65
2020-01-23,251121,18.6,17.81,18.52,18.52,18.58
2020-01-22,306202,18.89,18.18,18.62,18.62,18.45
2020-01-21,317418,18.4,17.64,18.31,18.31,18.4
2020-01-17,398622,18.89,17.72,18.43,18.43,18
2020-01-16,479191,18.78,18,18.48,18.48,18.09
2020-01-15,767830,18.08,16.6,18.04,18.04,16.6
2020-01-14,1235930,17.0665,15.28,16.58,16.58,15.48
2020-01-13,422351,15.61,14.9238,15.11,15.11,15.24
2020-01-10,198555,15.42,14.85,15.25,15.25,15.42
2020-01-09,493464,15.94,15.29,15.43,15.43,15.75
2020-01-08,264457,16.16,15.62,15.68,15.68,15.83
2020-01-07,163251,15.94,15.44,15.82,15.82,15.9
2020-01-06,327146,15.9282,15.02,15.82,15.82,15.8
2020-01-03,220508,16.2,15.7514,16.03,16.03,15.97
2020-01-02,343716,16.38,15.75,16.31,16.31,15.98
