date,volume,high,low,adj_close,close,open
2020-01-31,1.674018e+07,7.215,7.05,7.07,7.07,7.16
2020-01-30,2.153989e+07,7.19,7.02,7.19,7.19,7.05
2020-01-29,1.506808e+07,7.13,7.05,7.08,7.08,7.12
2020-01-28,1.866701e+07,7.155,7.1,7.13,7.13,7.13
2020-01-27,1.712661e+07,7.14,7.02,7.115,7.115,7.06
2020-01-24,1.647529e+07,7.18,7.05,7.11,7.11,7.15
2020-01-23,1.603177e+07,7.18,7.08,7.16,7.16,7.17
2020-01-22,2.780559e+07,7.21,7.12,7.2,7.2,7.16
2020-01-21,1.112048e+07,7.18,7.12,7.15,7.15,7.15
2020-01-17,1.373917e+07,7.23,7.16,7.17,7.17,7.21
2020-01-16,1.350516e+07,7.21,7.14,7.2,7.2,7.19
2020-01-15,2.069692e+07,7.195,7.1,7.17,7.17,7.12
2020-01-14,2.020211e+07,7.14,6.98,7.11,7.11,7.02
2020-01-13,1.478758e+07,7.05,6.96,7.05,7.05,7
2020-01-10,1.593925e+07,7.06,6.98,7,7,7.06
2020-01-09,1.598669e+07,7.135,7.03,7.05,7.05,7.06
2020-01-08,1.872371e+07,7.12,7.02,7.06,7.06,7.06
2020-01-07,1.792776e+07,7.155,7.05,7.07,7.07,7.08
2020-01-06,1.873996e+07,7.14,7.0389,7.12,7.12,7.05
2020-01-03,2.343912e+07,7.14,7.01,7.09,7.09,7.05
2020-01-02,1.500921e+07,7.19,7.1,7.13,7.13,7.13
