date,volume,high,low,adj_close,close,open
2020-01-31,31704,13.125,12.75,12.83,12.83,13
2020-01-30,18904,13.66,13,13.02,13.02,13.66
2020-01-29,119526,13.62,13.248,13.56,13.56,13.26
2020-01-28,10007,13.37,12.85,13.15,13.15,13.01
2020-01-27,17595,13.24,12.51,12.91,12.91,12.89
2020-01-24,19269,13.64,12.7118,12.89,12.89,13.52
2020-01-23,44534,13.43,12.52,13.43,13.43,13.23
2020-01-22,40702,13.75,12.9,13.15,13.15,13.31
2020-01-21,68697,14.25,13.32,13.41,13.41,14.25
2020-01-17,40329,14.42,13.539,13.99,13.99,14.01
2020-01-16,86725,14.14,13.5424,14.09,14.09,13.94
2020-01-15,123246,14.7854,13.86,13.97,13.97,14.61
2020-01-14,116548,14.94,14.14,14.73,14.73,14.14
2020-01-13,46935,14.99,14.14,14.47,14.47,14.99
2020-01-10,19003,15.1477,14.8006,14.88,14.88,14.98
2020-01-09,26448,15.248,14.5395,14.89,14.89,14.99
2020-01-08,77855,15.49,14.38,14.91,14.91,14.82
2020-01-07,121195,16,14.81,14.82,14.82,15.73
2020-01-06,143228,16,15.2902,15.43,15.43,15.9
2020-01-03,96790,16.22,15.01,15.65,15.65,15.75
2020-01-02,307819,17.845,15.55,15.75,15.75,17.5
