date,volume,high,low,adj_close,close,open
2020-01-31,123,24.06,24.0112,24.0112,24.0112,24.06
2020-01-30,3787,24.74,24.35,24.74,24.74,24.51
2020-01-29,3727,24.6767,24.535,24.535,24.535,24.6767
2020-01-27,100,24.5278,24.49,24.5278,24.5278,24.49
2020-01-24,102,24.865,24.75,24.865,24.865,24.75
2020-01-23,3342,25.1491,24.99,25.1326,25.1326,24.99
2020-01-17,421,25.37,25.3685,25.37,25.37,25.3685
2020-01-16,2888,25.4005,25.4,25.4005,25.4005,25.4
2020-01-15,115,25.2,25.1706,25.1706,25.1706,25.2
2020-01-14,100,25.16,25.07,25.16,25.16,25.07
2020-01-13,100,25.0734,25.04,25.0734,25.0734,25.04
2020-01-10,100,24.885,24.87,24.885,24.885,24.87
2020-01-09,1057,25.1,24.985,24.985,24.985,25.0586
2020-01-08,104,24.98,24.9277,24.9277,24.9277,24.98
2020-01-07,200,24.9345,24.9,24.9,24.9,24.9345
2020-01-06,9793,25.25,25.07,25.1718,25.1718,24.91
2020-01-03,302,25.2,25,25.1277,25.1277,25
2020-01-02,1410,25.28,25.1255,25.28,25.28,25.17
