date,volume,high,low,adj_close,close,open
2020-01-31,90783,1.56,1.3996,1.52,1.52,1.3996
2020-01-30,24200,1.47,1.3972,1.47,1.47,1.43
2020-01-29,240598,1.47,1.21,1.43,1.43,1.47
2020-01-28,18908,1.53,1.46,1.47,1.47,1.53
2020-01-27,44470,1.55,1.51,1.53,1.53,1.55
2020-01-24,23228,1.6,1.51,1.5694,1.5694,1.51
2020-01-23,68351,1.6,1.48,1.5433,1.5433,1.54
2020-01-22,49693,1.6,1.49,1.59,1.59,1.49
2020-01-21,69302,1.64,1.45,1.5,1.5,1.64
2020-01-17,60982,1.57,1.51,1.55,1.55,1.54
2020-01-16,25521,1.52,1.48,1.52,1.52,1.48
2020-01-15,21157,1.5,1.44,1.4814,1.4814,1.44
2020-01-14,24799,1.4697,1.44,1.4546,1.4546,1.45
2020-01-13,11139,1.47,1.44,1.44,1.44,1.47
2020-01-10,17120,1.45,1.43,1.44,1.44,1.45
2020-01-09,39126,1.47,1.43,1.45,1.45,1.44
2020-01-08,13526,1.51,1.47,1.4866,1.4866,1.48
2020-01-07,39553,1.55,1.42,1.5,1.5,1.47
2020-01-06,22505,1.5,1.4724,1.48,1.48,1.48
2020-01-03,9168,1.51,1.4425,1.4976,1.4976,1.51
2020-01-02,68315,1.6,1.47,1.47,1.47,1.6
