date,volume,high,low,adj_close,close,open
2020-01-31,554654,50.24,47.9,48.19,48.19,50.24
2020-01-30,420083,50.92,49.525,50.7,50.7,50.23
2020-01-29,357329,52.065,50.845,50.96,50.96,51.98
2020-01-28,239739,52.24,50.76,52.1,52.1,50.96
2020-01-27,375626,51,50.04,50.36,50.36,50.96
2020-01-24,326821,55.05,52.42,52.52,52.52,55.05
2020-01-23,341382,54.81,53.7301,54.41,54.41,54.45
2020-01-22,259492,55.29,54.24,54.45,54.45,54.7
2020-01-21,180093,54.69,54.17,54.4,54.4,54.48
2020-01-17,275664,55.26,54.46,54.97,54.97,55.17
2020-01-16,278582,54.82,53.88,54.79,54.79,54.01
2020-01-15,450373,53.98,52.995,53.32,53.32,53.72
2020-01-14,302458,54.33,52.93,53.88,53.88,53.13
2020-01-13,224981,53.62,52.53,53.38,53.38,52.89
2020-01-10,189275,53.59,52.5401,52.7,52.7,53.34
2020-01-09,379626,53.52,52.8191,53.16,53.16,53.47
2020-01-08,282732,53.36,52.54,52.945,52.945,52.8
2020-01-07,308419,53.16,52.1,52.97,52.97,52.38
2020-01-06,422874,52.47,50.0723,52.05,52.05,52.1
2020-01-03,363428,53.39,52.72,52.99,52.99,52.77
2020-01-02,292419,53.86,52.595,53.86,53.86,53.49
