date,volume,high,low,adj_close,close,open
2020-01-31,57874,3.85,3.71,3.725,3.725,3.8
2020-01-30,24285,3.82,3.7,3.76,3.76,3.72
2020-01-29,38753,3.9,3.74,3.74,3.74,3.85
2020-01-28,19206,3.9085,3.78,3.85,3.85,3.78
2020-01-27,61566,3.815,3.67,3.75,3.75,3.7
2020-01-24,88409,4.15,3.85,3.85,3.85,4.14
2020-01-23,98172,4.19,4.11,4.12,4.12,4.19
2020-01-22,121312,4.18,4.085,4.17,4.17,4.12
2020-01-21,73046,4.12,3.85,4.05,4.05,3.85
2020-01-17,104931,3.92,3.76,3.85,3.85,3.79
2020-01-16,89260,3.93,3.73,3.76,3.76,3.89
2020-01-15,43019,3.86,3.78,3.86,3.86,3.78
2020-01-14,36530,3.83,3.7,3.8,3.8,3.77
2020-01-13,70585,3.82,3.57,3.75,3.75,3.57
2020-01-10,51314,3.75,3.52,3.55,3.55,3.75
2020-01-09,76542,4,3.61,3.73,3.73,3.91
2020-01-08,272218,4.07,3.78,3.82,3.82,3.85
2020-01-07,45981,3.79,3.67,3.67,3.67,3.79
2020-01-06,143412,3.8598,3.71,3.76,3.76,3.71
2020-01-03,200868,3.67,3.5,3.65,3.65,3.5
2020-01-02,59246,3.55,3.39,3.55,3.55,3.4288
