date,volume,high,low,adj_close,close,open
2020-01-31,238931,53.25,51.44,51.59,51.59,53.08
2020-01-30,244624,53.3893,51.42,53.32,53.32,51.49
2020-01-29,219407,53.15,51.81,51.83,51.83,52.78
2020-01-28,284935,52.69,50.71,52.56,52.56,51.02
2020-01-27,296932,51.63,49.98,50.52,50.52,50.51
2020-01-24,334114,53.365,50.85,51.61,51.61,53.03
2020-01-23,499038,53,50.66,52.83,52.83,50.83
2020-01-22,478666,51.77,49.7,51.14,51.14,49.85
2020-01-21,362501,49.89,48.11,49.85,49.85,48.49
2020-01-17,311256,49.115,48.17,48.56,48.56,48.8
2020-01-16,341725,48.74,46.945,48.5,48.5,47.69
2020-01-15,223901,47.88,47.01,47.42,47.42,47.31
2020-01-14,382883,48.09,46.85,47.39,47.39,46.95
2020-01-13,215303,47.32,46.25,47.18,47.18,46.72
2020-01-10,246911,47.1,45.44,46.66,46.66,46.2
2020-01-09,230936,46.74,45.96,46.13,46.13,46.28
2020-01-08,485148,46.4073,44.37,46.23,46.23,44.98
2020-01-07,422322,46.08,44.68,44.88,44.88,46.08
2020-01-06,415338,46.64,45.25,46.1,46.1,46.28
2020-01-03,408745,47.44,45.53,46.77,46.77,47.12
2020-01-02,270323,49.89,47.14,47.92,47.92,49.82
