date,volume,high,low,adj_close,close,open
2020-01-31,358635,5.76,5.4,5.465,5.465,5.72
2020-01-30,197627,5.7494,5.66,5.725,5.725,5.73
2020-01-29,172789,5.79,5.65,5.73,5.73,5.76
2020-01-28,235582,5.78,5.56,5.76,5.76,5.65
2020-01-27,163148,5.67,5.49,5.61,5.61,5.53
2020-01-24,188412,5.8,5.5,5.61,5.61,5.7
2020-01-23,246275,5.75,5.48,5.72,5.72,5.51
2020-01-22,469588,5.8,5.53,5.55,5.55,5.8
2020-01-21,391655,5.86,5.64,5.8,5.8,5.66
2020-01-17,472015,5.97,5.68,5.68,5.68,5.94
2020-01-16,565217,6.21,5.845,5.89,5.89,6.17
2020-01-15,728856,6.5,6.025,6.12,6.12,6.06
2020-01-14,411834,6.2,5.93,6.05,6.05,6.14
2020-01-13,489722,6.1907,5.69,6.17,6.17,5.73
2020-01-10,287358,5.9,5.63,5.73,5.73,5.89
2020-01-09,275666,6.02,5.85,5.87,5.87,5.98
2020-01-08,624267,6.02,5.73,5.95,5.95,5.9
2020-01-07,471254,6.03,5.86,5.905,5.905,5.86
2020-01-06,722169,6.03,5.48,5.86,5.86,5.57
2020-01-03,533764,5.63,5.3783,5.61,5.61,5.41
2020-01-02,1347195,5.54,4.79,5.51,5.51,4.79
