date,volume,high,low,adj_close,close,open
2020-01-31,3979,27,26.4874,26.5658,26.5658,26.88
2020-01-30,7588,26.8858,26.33,26.33,26.33,26.8858
2020-01-29,1451,26.65,26.53,26.65,26.65,26.53
2020-01-28,2464,26.6985,26.6145,26.69,26.69,26.6767
2020-01-27,9115,26.4848,26.211,26.39,26.39,26.439
2020-01-24,3044,26.6785,26.5,26.5,26.5,26.6785
2020-01-23,2228,26.62,26.5955,26.6119,26.6119,26.6064
2020-01-22,3382,26.6145,26.51,26.61,26.61,26.51
2020-01-21,2253,26.69,26.4013,26.47,26.47,26.69
2020-01-17,6506,26.85,26.44,26.44,26.44,26.75
2020-01-16,7440,26.8,26.2,26.75,26.75,26.2
2020-01-15,2021,26.6,26.3631,26.3969,26.3969,26.6
2020-01-13,7516,26.5035,26.4,26.5,26.5,26.4
2020-01-10,22577,26.4004,26.145,26.25,26.25,26.19
2020-01-09,2542,26.16,26.064,26.16,26.16,26.064
2020-01-08,4893,26.1717,26.1717,26.1372,26.1372,26.1717
2020-01-07,1466,26.25,26.05,26.1437,26.1437,26.05
2020-01-06,3951,26.2703,26.0234,26.165,26.165,26.27
2020-01-03,6157,26.15,25.97,26.1053,26.1053,26
2020-01-02,8475,26.19,26,26.0527,26.0527,26.114
