date,volume,high,low,adj_close,close,open
2020-01-31,33805,1.97,1.5601,1.76,1.76,1.8912
2020-01-30,9202,1.96,1.91,1.92,1.92,1.9692
2020-01-29,24678,2.01,1.86,1.87,1.87,2.01
2020-01-28,17627,2.11,1.9877,2.05,2.05,2.05
2020-01-27,28832,2.01,1.94,1.96,1.96,2.02
2020-01-24,48380,2.25,1.9801,2.1,2.1,2.25
2020-01-23,57077,2.25,2.04,2.2,2.2,2.15
2020-01-22,30956,2.25,1.96,2.24,2.24,2.05
2020-01-21,12267,2.1,2,2.06,2.06,2.03
2020-01-17,33149,2.15,2,2.05,2.05,2.09
2020-01-16,23796,2.1491,1.9447,2.0304,2.0304,2
2020-01-15,22094,2.0527,1.9,1.9,1.9,2.015
2020-01-14,40650,2.075,1.95,1.99,1.99,2.05
2020-01-13,37721,2.0104,1.89,2.01,2.01,1.92
2020-01-10,19793,2.02,1.91,1.91,1.91,2
2020-01-09,16566,1.9892,1.87,1.965,1.965,1.8697
2020-01-08,23457,2.04,1.88,1.9238,1.9238,1.95
2020-01-07,6713,2,1.956,1.985,1.985,2
2020-01-06,20961,2.04,1.9,2,2,1.9
2020-01-03,88105,2.17,1.88,1.97,1.97,1.88
2020-01-02,4599,1.8982,1.83,1.86,1.86,1.83
