date,volume,high,low,adj_close,close,open
2020-01-31,101808,15.05,14.46,14.76,14.76,15
2020-01-30,103677,15.04,14.45,15.01,15.01,14.68
2020-01-29,95918,14.86,14.5675,14.755,14.755,14.6
2020-01-28,253347,14.57,13.65,14.55,14.55,14.5
2020-01-27,106707,14.69,14.34,14.37,14.37,14.67
2020-01-24,90020,15.82,14.79,14.82,14.82,15.82
2020-01-23,139408,16.22,15.55,15.8,15.8,16.21
2020-01-22,89510,16.48,15.93,16.2,16.2,16.39
2020-01-21,165564,16.47,15.99,16.38,16.38,15.99
2020-01-17,400376,16.22,15.8,15.89,15.89,15.95
2020-01-16,149634,16.03,15.7562,15.96,15.96,15.76
2020-01-15,153211,15.94,15.48,15.72,15.72,15.83
2020-01-14,148776,15.9,15.42,15.83,15.83,15.42
2020-01-13,254863,15.68,14.98,15.45,15.45,15.08
2020-01-10,269640,15.17,14.41,15.04,15.04,15.03
2020-01-09,404819,15.4243,14.64,15.02,15.02,15.1
2020-01-08,2969250,15.1,13.83,14.99,14.99,14.01
2020-01-07,81743,13.35,12.3,13.04,13.04,12.46
2020-01-06,67453,12.83,12.2,12.56,12.56,12.77
2020-01-03,101528,12.93,11.35,12.51,12.51,11.54
2020-01-02,170927,12.07,11.3,11.56,11.56,12.05
