date,volume,high,low,adj_close,close,open
2020-01-31,23553,1.2416,1.22,1.22,1.22,1.23
2020-01-30,66457,1.25,1.19,1.25,1.25,1.2
2020-01-29,108001,1.2148,1.16,1.19,1.19,1.2
2020-01-28,58737,1.22,1.2,1.21,1.21,1.22
2020-01-27,55717,1.24,1.2,1.2,1.2,1.21
2020-01-24,34666,1.24,1.23,1.24,1.24,1.23
2020-01-23,50627,1.2895,1.23,1.23,1.23,1.2895
2020-01-22,97863,1.25,1.23,1.24,1.24,1.23
2020-01-21,195890,1.2599,1.15,1.21,1.21,1.24
2020-01-17,66900,1.3,1.25,1.26,1.26,1.3
2020-01-16,90381,1.31,1.23,1.29,1.29,1.29
2020-01-15,148754,1.39,1.22,1.31,1.31,1.39
2020-01-14,113084,1.42,1.37,1.37,1.37,1.42
2020-01-13,92469,1.43,1.41,1.42,1.42,1.41
2020-01-10,149607,1.44,1.38,1.41,1.41,1.38
2020-01-09,313881,1.42,1.2705,1.38,1.38,1.3
2020-01-08,236540,1.29,1.2,1.27,1.27,1.21
2020-01-07,195883,1.21,1.13,1.205,1.205,1.16
2020-01-06,262488,1.15,1.0899,1.15,1.15,1.09
2020-01-03,246904,1.11,1.08,1.09,1.09,1.11
2020-01-02,171415,1.12,1.08,1.1,1.1,1.12
