date,volume,high,low,adj_close,close,open
2020-01-31,1332,13.015,12.98,12.98,12.98,13.0168
2020-01-30,1493,13.1,12.81,12.81,12.81,12.9888
2020-01-29,5899,13.15,13.1,13.1,13.1,13.15
2020-01-28,1582,13.05,13.04,13.05,13.05,12.85
2020-01-27,7837,12.88,12.75,12.84,12.84,12.81
2020-01-24,3311,12.96,12.76,12.76,12.76,12.96
2020-01-23,5832,12.9,12.8,12.8,12.8,12.8
2020-01-22,1301,12.87,12.75,12.87,12.87,12.75
2020-01-21,6186,12.83,12.75,12.78,12.78,12.8238
2020-01-17,826,12.8346,12.8346,12.8346,12.8346,12.8346
2020-01-16,2,12.94,12.94,12.94,12.94,12.89
2020-01-15,2852,12.91,12.78,12.78,12.78,12.89
2020-01-14,87,12.78,12.78,12.78,12.78,12.71
2020-01-13,1216,12.92,12.71,12.92,12.92,12.71
2020-01-10,433,12.71,12.71,12.71,12.71,12.71
2020-01-09,505,12.8302,12.8302,12.8302,12.8302,12.8302
2020-01-08,1367,12.97,12.76,12.76,12.76,12.896
2020-01-07,698,12.98,12.7488,12.98,12.98,12.7488
2020-01-06,1002,12.7127,12.7127,12.7127,12.7127,12.7127
2020-01-03,6857,12.97,12.65,12.81,12.81,12.94
2020-01-02,4574,12.98,12.76,12.94,12.94,12.7127
