date,volume,high,low,adj_close,close,open
2020-01-31,10756,3.15,3.06,3.09,3.09,3.06
2020-01-30,6204,3.1,3.07,3.07,3.07,3.09
2020-01-29,13895,3.12,3.0622,3.1,3.1,3.12
2020-01-28,5401,3.2,3.1085,3.15,3.15,3.2
2020-01-27,12523,3.175,3.0494,3.1,3.1,3.05
2020-01-24,20428,3.26,3.1,3.1,3.1,3.2171
2020-01-23,3831,3.3,3.25,3.28,3.28,3.3
2020-01-22,21983,3.29,3.1406,3.29,3.29,3.19
2020-01-21,50760,3.26,3.01,3.08,3.08,3.2
2020-01-17,19290,3.33,3.1203,3.22,3.22,3.2853
2020-01-16,15597,3.3133,3.178,3.28,3.28,3.2556
2020-01-15,21786,3.3704,3.2517,3.27,3.27,3.2861
2020-01-14,13819,3.305,3.14,3.26,3.26,3.14
2020-01-13,29802,3.5199,3.14,3.14,3.14,3.28
2020-01-10,20138,3.45,3.3,3.45,3.45,3.36
2020-01-09,28785,3.604,3.35,3.36,3.36,3.44
2020-01-08,77326,4.14,3.54,3.71,3.71,4.14
2020-01-07,41791,4.3,3.68,4.16,4.16,4.3
2020-01-06,244461,4.62,4.14,4.26,4.26,4.34
2020-01-03,97608,4.815,4.5214,4.71,4.71,4.59
2020-01-02,148021,4.76,4.3982,4.49,4.49,4.44
