date,volume,high,low,adj_close,close,open
2020-01-31,109077,13.49,13.13,13.175,13.175,13.44
2020-01-30,116114,13.59,13.19,13.565,13.565,13.28
2020-01-29,153019,14.08,13.46,13.47,13.47,14.01
2020-01-28,52028,14.25,13.975,14.05,14.05,14.14
2020-01-27,62897,14.25,13.85,14.07,14.07,14
2020-01-24,61812,14.625,14.25,14.27,14.27,14.57
2020-01-23,86274,14.61,14.195,14.52,14.52,14.26
2020-01-22,105431,14.63,14.21,14.28,14.28,14.58
2020-01-21,100695,14.99,14.55,14.58,14.58,14.79
2020-01-17,141585,14.98,14.68,14.9,14.9,14.81
2020-01-16,70192,14.895,14.65,14.71,14.71,14.69
2020-01-15,83607,14.55,14.27,14.53,14.53,14.44
2020-01-14,94417,14.65,14.2,14.5,14.5,14.23
2020-01-13,87283,14.17,13.77,14.14,14.14,13.9
2020-01-10,50395,14.21,13.9,13.95,13.95,14.13
2020-01-09,51769,14.5979,14.11,14.13,14.13,14.41
2020-01-08,108185,14.595,14.28,14.35,14.35,14.34
2020-01-07,206833,14.55,14.21,14.32,14.32,14.33
2020-01-06,112888,14.4101,13.995,14.345,14.345,14.09
2020-01-03,67747,14.27,13.93,14.24,14.24,13.93
2020-01-02,115083,14.26,13.7855,14.15,14.15,14.26
