date,volume,high,low,adj_close,close,open
2020-01-31,3664,30.16,29.1681,29.75,29.75,29.52
2020-01-30,916,30.1,30.03,30.1,30.1,30.03
2020-01-29,1016,30.28,30,30,30,30.28
2020-01-28,2673,30.4,30.26,30.32,30.32,30.26
2020-01-27,1660,30.31,30.11,30.11,30.11,30.21
2020-01-24,466,30.8,30.53,30.53,30.53,30.53
2020-01-23,1579,30.87,30.47,30.87,30.87,30.27
2020-01-22,2454,30.55,30.32,30.55,30.55,30.32
2020-01-21,3471,30.49,29.87,30.3,30.3,29.97
2020-01-17,5389,30.33,29.88,29.88,29.88,30.33
2020-01-16,3459,30.52,30.06,30.11,30.11,30.06
2020-01-15,6961,30.29,29.6,30.29,30.29,29.6
2020-01-14,11339,30.18,29.34,29.34,29.34,30.18
2020-01-13,4557,30.35,29.9298,30.35,30.35,30.09
2020-01-10,11442,30.47,29.5,30.17,30.17,30.47
2020-01-09,6090,30.32,29.84,30,30,30.32
2020-01-08,3804,30.4,30.1,30.1,30.1,30.4
2020-01-07,7412,30.51,29.95,29.95,29.95,30.51
2020-01-06,4823,30.8,30.5,30.52,30.52,30.8
2020-01-03,3684,31.05,30.59,30.82,30.82,30.99
2020-01-02,1115,30.98,30.87,30.98,30.98,30.97
