date,volume,high,low,adj_close,close,open
2020-01-31,71635,25.6984,25.6499,25.66,25.66,25.67
2020-01-30,88170,25.67,25.59,25.62,25.62,25.66
2020-01-29,51103,25.66,25.56,25.59,25.59,25.56
2020-01-28,56540,25.61,25.56,25.61,25.61,25.56
2020-01-27,147506,25.62,25.5801,25.62,25.62,25.61
2020-01-24,72764,25.6,25.5519,25.57,25.57,25.59
2020-01-23,132945,25.57,25.5101,25.555,25.555,25.57
2020-01-22,164940,25.57,25.53,25.535,25.535,25.57
2020-01-21,215722,25.555,25.48,25.53,25.53,25.53
2020-01-17,52029,25.53,25.45,25.5126,25.5126,25.45
2020-01-16,65200,25.51,25.48,25.51,25.51,25.51
2020-01-15,135719,25.5299,25.46,25.5027,25.5027,25.4952
2020-01-14,107281,25.52,25.46,25.52,25.52,25.51
2020-01-13,35047,25.51,25.45,25.51,25.51,25.51
2020-01-10,58804,25.5,25.48,25.49,25.49,25.5
2020-01-09,27595,25.49,25.42,25.475,25.475,25.47
2020-01-08,34871,25.51,25.44,25.465,25.465,25.51
2020-01-07,30050,25.49,25.44,25.455,25.455,25.49
2020-01-06,86872,25.51,25.46,25.465,25.465,25.51
2020-01-03,24085,25.51,25.43,25.4844,25.4844,25.5
2020-01-02,34615,25.49,25.4,25.4622,25.4622,25.49
