date,volume,high,low,adj_close,close,open
2020-01-31,333545,11.9,11.41,11.83,11.83,11.41
2020-01-30,124430,11.67,11.4,11.61,11.61,11.5
2020-01-29,116933,11.83,11.56,11.57,11.57,11.73
2020-01-28,151291,11.8,11.64,11.77,11.77,11.67
2020-01-27,151336,11.725,11.47,11.62,11.62,11.57
2020-01-24,146766,12.16,11.73,11.79,11.79,12.07
2020-01-23,181496,12.145,11.59,12.07,12.07,11.98
2020-01-22,122659,12.1,11.9105,12.09,12.09,12.06
2020-01-21,198819,12.15,11.97,12.05,12.05,12.05
2020-01-17,154243,12.28,12.05,12.11,12.11,12.25
2020-01-16,116363,12.2,12.06,12.16,12.16,12.06
2020-01-15,195942,12.16,11.98,12.05,12.05,11.99
2020-01-14,249240,12.12,11.88,12.09,12.09,12.06
2020-01-13,128058,12.19,11.97,12.16,12.16,12.06
2020-01-10,166612,12.14,11.925,12.03,12.03,12.14
2020-01-09,210962,12.38,12.08,12.12,12.12,12.38
2020-01-08,271296,12.32,12.17,12.26,12.26,12.22
2020-01-07,256420,12.46,12.17,12.24,12.24,12.46
2020-01-06,128378,12.57,12.41,12.47,12.47,12.54
2020-01-03,184130,12.78,12.6238,12.645,12.645,12.77
2020-01-02,130802,13.1,12.76,12.89,12.89,13.1
