date,volume,high,low,adj_close,close,open
2020-01-31,139470,39.88,38.92,38.98,38.98,39.88
2020-01-30,150316,40.19,38.89,40.05,40.05,38.89
2020-01-29,117327,39.87,39,39.03,39.03,39.73
2020-01-28,175926,40.69,39.54,39.78,39.78,40.49
2020-01-27,125110,40.995,39.51,40.43,40.43,39.57
2020-01-24,166918,40.8,39.86,40.3,40.3,40.64
2020-01-23,189937,41.29,40.22,40.74,40.74,40.77
2020-01-22,397107,41.23,38.7,40.6,40.6,39.44
2020-01-21,128314,38.49,37.82,38.48,38.48,38.29
2020-01-17,126354,39.41,38.29,38.29,38.29,38.97
2020-01-16,144129,38.92,37.94,38.63,38.63,38.04
2020-01-15,103451,38.2,37.53,37.77,37.77,37.89
2020-01-14,90080,38.61,37.9,38.19,38.19,37.9
2020-01-13,77126,38,37.48,37.95,37.95,37.55
2020-01-10,67352,37.92,37.515,37.58,37.58,37.85
2020-01-09,70399,38.135,37.7028,37.84,37.84,38.05
2020-01-08,53852,37.74,37.36,37.52,37.52,37.5
2020-01-07,76420,37.45,37.095,37.33,37.33,37.45
2020-01-06,106745,37.81,37.35,37.54,37.54,37.71
2020-01-03,98619,38.11,37.21,38.095,38.095,37.46
2020-01-02,107412,38.26,37.42,37.92,37.92,38.26
