date,volume,high,low,adj_close,close,open
2020-01-31,440673,27.64,27.04,27.25,27.25,27.54
2020-01-30,435224,27.53,27.03,27.52,27.52,27.25
2020-01-29,734105,27.61,26.86,27.43,27.43,26.94
2020-01-28,345071,27.27,26.5,26.81,26.81,26.81
2020-01-27,663883,26.675,25.94,26.56,26.56,26.33
2020-01-24,538858,27.45,26.801,27,27,27.26
2020-01-23,579776,27.21,26.47,27.04,27.04,26.72
2020-01-22,599950,27.22,26.61,26.78,26.78,26.86
2020-01-21,598974,26.945,26.55,26.62,26.62,26.64
2020-01-17,531112,27.21,26.56,26.68,26.68,27.12
2020-01-16,857927,26.87,26.28,26.87,26.87,26.34
2020-01-15,821298,26.5,26.08,26.27,26.27,26.15
2020-01-14,747161,26.15,25.75,26.01,26.01,26
2020-01-13,448350,26.23,25.36,26.1,26.1,25.53
2020-01-10,299875,26.14,25.3,25.58,25.58,25.96
2020-01-09,667709,26.49,25.66,25.74,25.74,26.22
2020-01-08,1826983,26.39,25.47,26,26,25.56
2020-01-07,931866,25.54,25.105,25.355,25.355,25.33
2020-01-06,1024506,25.6,24.4571,25.44,25.44,24.61
2020-01-03,657902,24.76,23.615,24.69,24.69,24.1
2020-01-02,550088,24.47,24,24.46,24.46,24.15
