date,volume,high,low,adj_close,close,open
2020-01-31,55417,1.37,1.33,1.34,1.34,1.37
2020-01-30,26579,1.35,1.33,1.34,1.34,1.3537
2020-01-29,14943,1.39,1.34,1.38,1.38,1.3586
2020-01-28,48290,1.456,1.3259,1.3499,1.3499,1.365
2020-01-27,29338,1.39,1.3391,1.34,1.34,1.35
2020-01-24,26479,1.4248,1.3465,1.37,1.37,1.4
2020-01-23,19007,1.47,1.38,1.4,1.4,1.47
2020-01-22,154265,1.5598,1.41,1.45,1.45,1.41
2020-01-21,76700,1.39,1.2816,1.3899,1.3899,1.3
2020-01-17,10073,1.31,1.2601,1.28,1.28,1.28
2020-01-16,14874,1.32,1.29,1.3,1.3,1.32
2020-01-15,16551,1.29,1.26,1.28,1.28,1.2564
2020-01-14,60841,1.3114,1.26,1.26,1.26,1.3
2020-01-13,180696,1.45,1.25,1.28,1.28,1.45
2020-01-10,20969,1.45,1.34,1.39,1.39,1.34
2020-01-09,34261,1.4,1.28,1.37,1.37,1.35
2020-01-08,37580,1.39,1.32,1.35,1.35,1.39
2020-01-07,88120,1.5,1.28,1.36,1.36,1.39
2020-01-06,38751,1.42,1.3801,1.415,1.415,1.42
2020-01-03,19673,1.46,1.37,1.41,1.41,1.37
2020-01-02,53304,1.43,1.38,1.415,1.415,1.42
